Series Name,Series Code,Country Name,Country Code,2004 [YR2004],2005 [YR2005],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Gabon,GAB,875.020287768769,873.588219038875,921.424672242533,931.887813457435,894.443564179198,908.769479371517,919.040902679831,941.90411633877,1031.42318525769,1118.53695366461
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Georgia,GEO,1814.45965971879,1916.47902904546,1829.97690768098,1881.53721148442,1833.04456065262,2049.54452365453,2289.13484865062,2329.92587038339,2498.34035744989,2693.97276022513
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Germany,DEU,7108.96252447699,7138.22148529185,7229.08991294766,7187.76400909623,6817.15839823657,7264.32259073555,7281.27217417162,7270.15252302734,7217.52908915495,7035.48297471676
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Ghana,GHA,210.622956423233,235.409678404865,233.715421421678,253.102769878279,251.976272307836,268.859259020598,305.312448043747,331.21407457276,363.407195128229,339.19274255207
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Gibraltar,GIB,4596.74049310489,4836.22020236666,5000.66675556741,5296.40107901836,5483.63022810604,5501.88727528629,5236.42787293776,5317.16417910448,5646.23121779643,5916.43042031308
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Greece,GRC,5200.02435386272,5297.20002541112,5701.33085359398,5805.19254609269,5627.88370630926,5333.43955553561,5389.33312225532,5534.89715854516,5028.99579406178,5062.60642155232
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Greenland,GRL,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Grenada,GRD,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Guam,GUM,..,..,..,..,..,..,..,..,..,..
